0,250,233
68,209,0
248,253,0
255,151,0
255,56,0
255,8,30
255,26,105
249,45,180
240,64,255
224,59,255
174,45,255
158,40,255
120,36,255
114,39,255
95,48,255
89,51,255
70,61,255
62,62,248
60,60,240
55,55,218
51,51,203
47,47,188
45,45,180
40,40,158
36,36,143
32,32,128
32,32,122
32,32,105
32,32,94
32,32,83
32,32,77
32,32,60
32,32,49
32,32,38
38,38,38
49,49,49
60,60,60
66,66,66
83,83,83
94,94,94
105,105,105
117,117,117
128,128,128
139,139,139
151,151,151
156,156,156
173,173,173
184,184,184
196,196,196
207,207,207
218,218,218
224,224,223
225,223,221
226,223,220
227,222,217
228,221,214
229,220,212
229,219,210
230,219,208
231,218,206
232,217,204
232,217,203
233,216,200
234,215,198
235,214,195
236,214,193
237,213,191
238,212,189
237,211,186
236,208,182
235,205,178
234,203,174
233,200,170
232,197,166
230,194,162
230,193,160
228,189,154
227,186,150
226,184,146
224,181,142
223,178,138
222,175,134
221,173,130
220,170,126
219,167,122
216,164,118
213,161,115
209,157,111
206,154,108
203,151,104
199,147,101
198,146,99
192,140,94
189,137,90
186,134,86
182,130,83
179,127,79
175,123,76
172,120,72
169,117,69
165,113,65
162,110,62
159,107,59
157,105,56
154,102,54
152,100,52
150,98,49
149,97,48
145,93,45
143,91,42
141,89,40
138,87,38
136,85,35
134,82,33
132,80,31
129,78,28
127,76,26
125,73,24
122,71,21
120,69,19
118,67,16
116,64,14
113,62,12
112,61,11
109,58,7
107,55,5
104,53,2
102,51,0
