255,255,228
254,255,225
254,255,222
253,254,219
253,254,217
252,254,214
252,254,211
251,254,208
251,253,206
250,253,204
250,253,200
249,253,199
249,253,194
248,253,193
248,252,189
247,252,188
246,252,184
244,251,183
243,250,182
240,249,180
238,249,179
237,248,177
236,247,177
233,246,175
231,246,173
229,245,172
228,244,171
225,243,169
223,243,168
221,242,166
221,241,166
218,240,164
215,239,162
213,238,161
210,237,160
207,236,158
204,234,157
203,234,156
199,232,154
196,231,153
193,230,152
190,229,150
188,227,149
185,226,148
182,225,146
181,224,146
177,223,144
174,221,142
171,220,141
167,219,140
164,217,138
161,216,137
157,214,136
156,214,135
151,211,133
147,210,132
144,208,131
141,207,129
137,206,128
134,204,127
131,203,125
129,202,125
124,200,123
121,198,121
117,197,120
114,195,118
111,193,116
107,192,114
104,190,113
100,188,111
97,187,109
93,185,107
90,183,106
86,181,104
83,180,102
81,179,101
76,176,99
73,175,97
69,173,95
66,171,93
63,169,92
62,167,90
60,164,88
58,162,87
56,159,85
54,157,84
52,154,82
50,152,80
48,149,79
47,147,77
45,145,75
44,143,75
41,140,72
39,137,70
37,135,69
35,132,67
33,130,66
31,129,66
29,127,65
26,125,64
24,123,63
22,122,63
20,120,62
18,118,61
16,116,60
13,115,60
11,113,59
10,112,58
7,109,57
5,108,57
2,106,56
0,104,55
0,102,54
0,100,53
0,98,52
0,95,52
0,93,51
0,91,50
0,89,49
0,87,48
0,84,47
0,82,46
0,80,45
0,79,45
0,76,44
0,73,43
0,71,42
0,69,41
