246,252,239
245,251,238
243,251,237
242,250,235
241,249,234
239,249,233
238,248,231
236,248,230
235,247,229
234,247,228
232,246,226
231,246,226
229,245,224
228,245,223
226,244,221
225,244,220
223,243,218
222,242,217
221,242,216
220,241,214
218,241,213
217,240,211
216,240,211
215,239,209
213,239,207
212,238,206
211,238,205
209,237,203
208,237,202
207,236,200
206,236,200
204,235,198
203,234,196
200,234,195
198,233,194
196,232,193
194,231,192
192,230,192
189,229,190
187,228,189
185,227,188
182,227,187
180,226,186
178,225,185
175,224,184
174,223,184
171,222,182
169,221,181
166,220,182
163,219,183
160,218,184
158,217,184
155,216,185
153,215,186
149,214,187
146,213,188
143,212,189
141,211,190
138,210,191
135,209,192
132,207,193
131,207,193
127,205,195
124,204,196
121,203,197
118,201,198
115,200,199
112,198,200
110,197,200
107,195,201
104,193,202
101,192,203
98,190,204
95,189,205
93,187,206
91,186,207
87,184,208
84,182,209
81,181,210
79,179,211
76,177,210
74,175,209
72,172,207
70,170,206
67,167,205
65,165,203
63,162,202
61,160,201
59,157,199
56,155,198
54,153,197
53,151,196
50,148,194
48,145,193
45,143,191
43,140,190
41,138,189
39,136,188
37,134,187
34,131,186
32,129,184
30,127,183
28,124,182
26,122,181
24,120,180
21,118,179
19,115,178
18,114,177
15,111,175
13,109,174
10,106,173
8,104,172
8,102,169
8,99,167
8,97,164
8,94,161
8,92,159
8,89,156
8,87,153
8,84,151
8,82,148
8,79,145
8,77,142
8,75,141
8,72,137
8,69,134
8,67,132
8,64,129
