86,49,5
91,52,6
95,54,6
99,57,6
104,60,7
108,62,7
113,65,8
117,67,8
121,70,8
124,71,9
130,75,9
132,76,9
139,80,10
141,82,11
147,88,15
149,89,16
155,95,20
159,99,23
161,101,24
167,106,29
171,110,31
175,114,34
177,116,35
183,121,40
187,125,42
191,129,45
192,132,48
196,139,58
199,144,64
201,149,70
202,152,73
206,160,83
209,165,89
211,170,95
214,175,101
216,180,108
219,185,114
220,188,117
223,195,126
225,198,132
227,201,137
229,204,143
231,207,148
232,210,154
234,213,159
235,214,162
238,219,170
240,222,176
241,225,181
243,228,187
245,231,192
246,233,197
246,234,201
246,234,203
246,236,209
246,237,213
246,238,217
245,239,220
245,240,224
245,241,228
245,242,232
245,242,234
245,244,240
245,245,244
242,244,244
239,243,243
235,243,242
231,242,240
228,241,239
224,240,238
221,239,237
217,238,235
213,237,234
210,237,233
206,236,232
204,235,231
199,234,229
193,232,226
188,229,223
182,227,221
177,225,218
171,223,215
166,220,212
160,218,209
154,216,206
149,214,204
143,211,201
138,209,198
132,207,195
127,204,192
121,200,188
118,198,186
109,191,180
103,187,176
97,183,172
91,179,168
85,174,165
79,170,161
74,166,157
68,162,153
62,157,149
56,153,145
51,149,141
47,145,137
43,141,133
39,138,130
35,134,126
33,132,124
26,126,118
22,122,114
18,118,110
14,114,106
10,111,103
6,107,99
2,103,95
1,100,91
1,96,88
1,93,84
1,90,80
1,86,77
1,83,73
0,80,70
0,76,66
0,75,64
0,70,59
0,67,55
0,63,52
0,60,48
