241,251,251
214,244,244
186,237,237
159,229,229
131,222,222
104,214,214
78,209,209
66,216,216
53,224,224
47,227,227
28,238,238
22,242,242
3,253,253
0,254,250
0,246,220
0,244,210
0,237,180
0,232,160
0,229,150
0,222,120
0,217,100
0,212,80
0,210,70
0,202,40
0,197,20
0,192,0
10,195,0
40,202,0
60,207,0
80,212,0
90,215,0
120,222,0
140,227,0
160,232,0
180,237,0
200,242,0
220,246,0
230,249,0
255,251,0
255,236,0
255,221,0
255,207,0
255,192,0
255,177,0
255,162,0
255,151,0
255,113,0
255,88,0
255,63,0
255,38,0
255,13,0
255,3,10
255,8,30
255,10,40
255,18,70
255,23,90
255,28,110
255,33,130
252,38,150
250,43,170
248,48,190
246,50,200
243,58,230
241,63,250
227,60,255
209,55,255
192,50,255
174,45,255
157,40,255
139,35,255
124,34,255
114,39,255
104,44,255
94,49,255
84,54,255
79,56,255
64,64,255
59,59,235
54,54,215
49,49,195
44,44,175
39,39,155
34,34,135
32,32,119
32,32,104
32,32,88
32,32,73
32,32,58
32,32,43
36,36,36
51,51,51
58,58,58
81,81,81
96,96,96
111,111,111
126,126,126
141,141,141
156,156,156
171,171,171
186,186,186
201,201,201
216,216,216
225,223,221
227,221,216
229,219,210
232,217,204
234,216,199
235,215,196
238,211,187
234,204,176
231,197,165
228,189,155
225,182,144
222,175,133
219,168,123
211,159,113
202,150,104
193,141,94
184,132,85
175,123,75
166,114,66
157,105,56
147,96,47
143,91,42
129,78,28
120,69,19
111,60,9
102,51,0
