246,252,253
245,251,253
244,251,252
243,250,252
242,250,252
241,250,252
240,249,251
239,249,251
237,248,251
237,248,251
235,247,250
235,247,250
233,247,250
232,246,250
231,246,249
230,245,249
228,245,248
227,244,247
226,244,247
223,243,245
222,242,244
220,242,242
219,242,242
217,241,240
216,240,239
214,240,238
213,239,237
211,238,235
209,238,234
208,237,233
207,237,232
205,236,230
202,235,229
199,234,227
196,233,225
192,231,223
189,230,222
188,230,221
183,228,218
180,226,216
176,225,214
173,224,212
170,223,211
167,221,209
164,220,207
162,220,206
157,218,203
154,216,202
151,215,199
148,214,197
144,212,195
141,211,192
138,210,190
136,209,189
132,207,185
128,205,183
125,204,181
122,203,179
119,201,176
116,200,174
112,198,172
111,198,170
106,196,167
103,194,165
100,193,162
98,192,159
96,191,156
93,189,153
91,188,150
89,187,147
86,186,145
84,184,142
82,183,139
79,182,136
77,181,133
76,180,132
72,178,127
70,177,124
68,175,121
65,174,119
63,172,116
62,170,112
60,168,109
58,166,106
56,163,103
54,161,100
52,159,97
50,157,94
48,155,91
47,152,88
45,150,85
44,149,83
41,146,79
39,144,76
37,141,72
35,139,69
33,137,68
31,135,66
29,134,64
26,132,63
24,130,61
22,128,60
20,126,58
18,124,57
16,122,55
13,120,54
11,119,52
10,118,51
7,115,49
5,113,47
2,111,46
0,109,44
0,107,43
0,104,42
0,101,41
0,99,40
0,96,39
0,94,38
0,91,37
0,89,36
0,86,34
0,83,33
0,81,32
0,80,32
0,76,30
0,73,29
0,71,28
0,68,27
