1,0,43
2,0,67
3,0,89
5,0,110
6,5,116
7,9,117
9,14,117
10,18,117
11,23,118
12,25,118
14,32,118
15,34,119
17,41,119
17,44,119
19,50,120
20,52,120
22,59,121
23,63,121
24,65,121
26,71,122
27,75,122
29,79,122
29,81,123
31,87,123
33,90,123
34,94,124
35,96,124
37,101,125
38,104,125
39,107,125
40,109,125
42,114,126
43,117,126
45,120,127
46,123,127
47,126,127
48,129,126
49,129,125
50,131,121
51,132,119
52,133,117
53,134,114
54,135,112
55,137,109
56,138,107
56,138,106
58,140,102
59,141,99
60,142,97
61,144,95
62,145,92
63,146,90
64,147,87
64,148,86
65,149,82
66,150,80
67,152,77
68,153,75
69,154,73
74,155,70
78,156,71
80,157,72
87,159,74
91,160,75
96,161,76
100,162,77
105,163,78
109,164,79
114,165,81
118,166,82
122,167,82
125,168,83
129,168,84
132,169,84
135,170,85
137,171,85
142,172,86
145,173,87
148,174,87
152,175,88
155,175,89
158,176,89
162,177,90
165,178,91
168,179,91
171,180,92
175,181,92
178,182,93
181,182,94
183,182,94
184,180,95
185,179,95
186,177,96
187,175,97
188,173,98
188,172,98
189,170,99
190,168,99
191,166,100
192,165,101
193,163,103
195,164,108
197,165,113
199,166,118
202,168,123
204,170,128
206,171,133
207,172,135
211,175,143
213,177,148
215,178,152
217,181,157
219,184,162
222,187,167
224,189,173
226,193,179
228,197,185
231,201,191
233,205,197
235,209,203
237,213,209
240,218,215
242,222,221
243,225,224
246,234,233
249,239,239
251,245,245
253,251,251
