254,255,216
253,254,213
252,254,211
251,253,208
250,253,206
249,253,203
248,252,201
247,252,198
245,251,196
245,251,194
243,250,191
243,250,189
241,250,186
240,249,184
239,249,181
238,248,179
236,247,177
233,247,177
232,246,177
229,245,178
226,244,178
224,243,178
223,242,178
219,241,178
217,240,179
214,239,179
213,239,179
209,237,179
207,236,179
205,235,180
203,235,180
200,233,180
196,232,180
192,230,181
187,228,181
183,227,182
178,225,182
176,224,182
169,221,183
165,220,183
160,218,184
156,216,184
151,214,185
146,213,185
142,211,186
140,210,186
133,207,186
128,206,187
124,204,187
120,203,188
117,201,189
113,200,189
109,198,190
107,198,190
101,195,191
97,194,191
93,192,192
89,191,192
85,190,193
82,188,194
78,187,194
76,186,194
70,184,195
66,182,196
63,180,196
61,178,196
59,176,195
57,173,195
54,171,195
52,169,195
50,166,194
47,164,194
45,162,194
43,159,194
41,157,193
40,156,193
36,152,193
34,150,193
32,148,192
29,145,192
29,142,191
30,139,189
30,136,188
30,133,186
31,130,185
31,126,183
31,123,182
31,120,180
32,117,179
32,114,177
32,110,176
33,109,175
33,104,173
33,101,171
34,98,170
34,94,168
34,92,167
34,89,166
35,86,164
35,84,163
35,81,162
35,79,161
35,76,159
35,73,158
36,71,157
36,68,156
36,65,154
36,64,154
36,60,152
37,57,151
37,55,149
37,52,148
35,51,144
33,49,141
32,48,137
30,46,133
28,45,129
26,43,126
24,42,122
23,41,118
21,39,114
19,38,111
17,36,107
16,35,105
13,33,99
12,32,96
10,30,92
8,29,88
