252,251,253
251,250,252
250,249,252
249,248,251
248,247,251
248,246,250
247,245,250
246,244,249
245,244,249
245,243,248
243,242,248
243,241,247
242,240,247
241,240,246
240,238,246
240,238,245
238,236,245
237,235,244
236,235,244
234,233,243
233,232,242
232,230,242
231,230,241
229,228,240
228,227,240
226,226,239
226,225,239
224,223,238
222,222,237
221,221,236
220,220,236
218,218,235
217,217,234
215,215,233
213,213,233
211,211,232
209,210,231
208,209,230
206,206,229
204,204,228
202,202,227
200,200,226
198,199,225
196,197,224
194,195,223
193,194,223
190,191,221
189,190,220
187,187,219
185,185,218
183,183,217
181,181,215
179,179,214
178,178,213
175,174,212
174,172,210
172,170,209
170,168,208
168,166,207
166,163,205
164,161,204
163,160,203
160,157,202
158,155,200
157,153,199
155,151,198
153,149,198
151,147,197
149,145,196
147,144,195
145,142,194
143,140,193
142,138,192
140,136,191
138,134,191
137,134,190
134,131,189
132,129,188
130,127,187
128,125,186
127,123,185
125,120,183
124,117,182
123,114,180
121,112,179
120,109,178
119,106,176
117,103,175
116,101,173
114,98,172
113,95,170
112,94,170
110,90,168
109,87,166
108,84,165
106,81,163
105,79,162
103,76,161
102,73,159
101,71,158
99,68,157
98,66,156
97,63,154
95,60,153
94,58,152
92,55,151
91,52,149
90,51,149
88,47,147
87,44,146
85,42,144
84,39,143
83,37,142
81,34,141
80,32,140
79,29,139
77,27,137
76,24,136
75,22,135
74,20,134
72,17,133
71,15,132
70,12,131
69,11,130
67,7,128
66,5,127
64,2,126
63,0,125
