2,0,0
6,0,0
10,0,0
14,0,0
18,0,0
22,0,0
26,0,0
30,0,0
34,0,0
36,0,0
42,0,0
44,0,0
50,0,0
52,0,0
58,0,0
60,0,0
66,0,0
70,0,0
72,0,0
78,0,0
82,0,0
86,0,0
88,0,0
94,0,0
98,0,0
102,0,0
104,0,0
110,0,0
114,0,0
118,0,0
120,0,0
126,0,0
130,3,0
134,6,0
138,10,0
142,15,0
146,18,0
148,20,0
154,27,0
158,31,0
162,34,0
166,38,0
170,43,0
174,47,0
178,50,0
180,52,0
186,59,0
190,62,0
194,66,0
198,71,0
202,75,0
206,78,0
210,82,0
212,85,0
218,91,0
222,94,0
226,99,0
230,103,0
234,106,0
238,110,0
242,115,0
244,117,0
250,122,0
254,126,0
255,131,3
255,135,7
255,138,11
255,143,15
255,147,19
255,150,23
255,154,27
255,159,31
255,163,35
255,166,39
255,170,43
255,173,45
255,178,51
255,182,55
255,187,59
255,191,63
255,194,67
255,198,71
255,203,75
255,207,79
255,210,83
255,214,87
255,219,91
255,222,95
255,226,99
255,231,103
255,235,107
255,237,109
255,242,115
255,247,119
255,251,123
255,254,127
255,255,131
255,255,135
255,255,139
255,255,143
255,255,147
255,255,151
255,255,155
255,255,159
255,255,163
255,255,167
255,255,171
255,255,173
255,255,179
255,255,183
255,255,187
255,255,191
255,255,195
255,255,199
255,255,203
255,255,207
255,255,211
255,255,215
255,255,219
255,255,223
255,255,227
255,255,231
255,255,235
255,255,237
255,255,243
255,255,247
255,255,251
255,255,255
