126,3,255
122,9,255
117,16,255
113,22,255
110,28,255
105,34,254
101,41,254
98,47,254
94,53,254
92,56,253
85,65,253
84,68,253
78,77,252
75,80,252
69,89,251
68,92,251
61,101,250
57,107,249
55,109,249
50,118,248
45,123,247
41,129,246
40,132,246
34,140,244
29,145,243
26,150,243
24,152,242
17,160,241
13,165,239
10,169,238
8,172,238
1,179,236
3,183,235
6,187,234
10,192,232
15,196,231
18,200,230
20,202,229
27,207,227
31,211,225
34,214,224
38,218,222
43,221,221
47,224,219
50,227,218
52,228,217
59,232,214
62,235,213
66,237,211
71,239,209
75,242,207
78,243,205
82,245,203
85,246,203
91,248,200
94,250,198
99,251,196
103,252,194
106,253,192
110,254,190
115,254,187
117,254,186
122,255,183
126,255,181
131,255,179
135,255,176
138,254,174
143,254,172
147,253,169
150,252,167
154,251,165
159,250,162
163,249,160
166,248,157
170,246,155
173,245,154
178,243,150
182,241,147
187,238,145
191,236,142
194,234,140
198,231,137
203,228,134
207,225,132
210,222,129
214,219,126
219,216,123
222,213,121
226,209,118
231,205,115
235,202,112
237,200,111
242,194,107
247,190,104
251,185,101
254,181,98
255,176,95
255,172,92
255,167,89
255,162,86
255,157,83
255,152,80
255,147,77
255,142,74
255,137,71
255,132,68
255,126,65
255,123,64
255,115,59
255,109,56
255,104,53
255,98,50
255,92,47
255,86,44
255,80,41
255,74,38
255,68,34
255,62,31
255,56,28
255,50,25
255,44,22
255,38,19
255,31,16
255,28,14
255,19,9
255,13,6
255,6,3
255,0,0
