167,2,38
171,6,38
175,9,38
179,13,38
183,17,38
187,21,38
190,24,39
194,28,39
198,32,39
200,34,39
206,40,39
208,41,39
214,47,39
216,49,40
219,56,43
220,59,44
224,66,47
226,71,49
227,73,51
230,80,54
233,85,56
235,90,58
236,92,59
239,99,63
242,104,65
244,109,67
244,112,68
245,119,72
246,124,74
247,129,76
247,132,78
248,140,81
249,145,83
250,150,86
250,155,88
251,160,91
252,165,93
252,168,94
253,175,98
253,179,101
253,183,104
253,187,108
253,191,111
253,195,114
253,199,118
254,200,119
254,206,124
254,210,127
254,214,131
254,218,134
254,222,137
254,225,141
254,228,145
254,229,147
254,233,153
254,235,157
254,237,161
255,240,166
255,242,170
255,245,174
255,247,178
255,248,180
255,252,186
255,254,190
253,254,188
250,253,184
247,252,180
244,250,176
241,249,172
238,248,168
235,247,163
232,245,159
229,244,155
226,243,151
223,242,147
221,241,145
217,239,139
213,237,136
209,236,134
205,234,131
201,232,129
197,230,126
193,229,123
189,227,121
185,225,118
181,223,116
177,222,113
173,220,111
169,218,108
165,216,106
160,214,105
157,213,105
150,210,104
145,208,104
140,205,103
135,203,103
130,201,102
125,199,101
120,197,101
115,194,100
110,192,100
105,190,99
99,188,98
93,185,97
87,182,95
81,179,94
75,176,92
72,174,92
63,170,89
57,167,88
51,164,86
45,161,85
39,159,83
33,156,82
27,153,80
24,149,79
22,145,77
20,142,75
18,138,73
16,134,71
14,130,69
12,127,67
10,123,65
9,121,64
6,115,61
4,112,59
2,108,57
0,104,55
