139,102,45
150,112,51
160,122,57
170,133,62
181,143,68
191,153,74
202,163,80
212,173,85
222,184,91
233,194,97
235,201,102
229,205,105
224,209,109
218,213,112
212,217,116
206,220,119
200,224,123
194,228,126
189,232,130
183,236,133
173,238,140
161,238,150
147,238,160
135,238,170
122,238,180
108,238,190
96,238,200
82,238,210
69,238,220
57,238,230
48,232,235
44,220,235
41,208,236
37,197,236
33,185,236
29,173,237
25,161,237
22,150,237
18,138,238
14,126,238
13,114,235
16,102,230
18,90,224
21,78,219
24,66,213
26,55,208
29,43,202
31,31,197
34,19,191
37,7,186
36,3,180
34,8,173
31,13,166
27,18,159
24,24,152
22,29,145
18,34,138
15,38,131
13,43,124
10,48,117
