3,2,1
10,6,4
16,10,6
22,14,9
29,18,12
35,22,14
42,26,17
48,30,19
54,34,22
61,38,24
67,42,27
74,46,29
80,50,32
86,54,35
93,58,37
99,62,40
106,66,42
112,70,45
118,74,47
125,78,50
131,82,52
138,86,55
144,90,58
150,94,60
157,98,63
163,102,65
170,106,68
176,110,70
182,114,73
189,118,76
195,122,78
202,126,81
208,130,83
214,134,86
221,138,88
227,142,91
234,146,93
240,150,96
246,154,99
253,158,101
255,162,104
255,166,106
255,170,109
255,174,111
255,178,114
255,182,116
255,186,119
255,190,122
255,194,124
255,198,127
