106,1,31
112,3,32
118,5,33
124,7,34
129,8,35
135,10,36
141,12,37
147,14,38
153,16,39
156,17,39
165,20,41
168,21,41
177,24,43
179,25,44
183,34,48
184,37,49
189,45,53
191,51,56
193,54,57
197,62,61
200,68,64
203,73,66
204,76,68
208,85,72
211,90,74
214,96,77
215,99,79
219,107,85
221,112,89
223,118,94
225,120,96
228,128,102
230,134,106
233,139,110
235,145,114
238,150,119
240,156,123
241,158,125
244,166,131
245,170,137
246,175,142
246,179,148
247,183,153
248,187,158
248,191,164
249,194,167
250,200,175
251,204,180
251,208,185
252,213,191
253,217,196
253,220,201
252,222,205
252,223,207
251,227,212
251,229,216
250,231,220
250,233,223
249,235,227
249,238,231
249,240,235
248,241,237
248,244,242
247,246,246
245,246,247
242,245,246
239,243,245
236,242,245
233,240,244
230,239,244
227,237,243
224,236,243
221,235,242
218,233,242
215,232,241
213,231,241
209,229,240
204,226,239
199,224,237
194,221,236
189,219,234
184,216,233
179,214,232
174,211,230
169,209,229
165,206,227
160,204,226
155,201,224
150,199,223
144,196,221
138,192,219
135,190,218
126,184,215
120,180,213
113,176,211
107,172,209
101,169,207
95,165,205
89,161,202
82,157,200
76,153,198
70,149,196
66,145,194
63,142,192
60,138,190
58,135,189
55,131,187
54,129,186
50,124,183
47,121,181
44,117,180
42,113,178
39,110,176
36,106,174
34,103,172
31,99,168
29,95,162
27,90,156
25,86,150
23,82,144
20,78,138
18,73,132
16,69,126
15,67,123
12,61,115
9,56,109
7,52,103
5,48,97
